outcome	model	AIC	delta_AIC
Global walking	k_25_60_85	595074.434718495	0
Global walking	k_25_50_85	595074.83720288	0.402484385063872
Global walking	k_25_60_90	595075.132311755	0.697593260440044
Global walking	k_25_50_90	595075.222264647	0.787546152481809
Global walking	k_25_50_95	595076.015503829	1.58078533469234
Global walking	k_15_60_85	595076.384706986	1.9499884910183
Global walking	k_25_60_95	595076.400133127	1.96541463246103
Global walking	k_15_60_90	595076.898823956	2.4641054609092
Global walking	k_10_60_85	595077.255465969	2.8207474744413
Global walking	k_15_50_85	595077.625803362	3.19108486734331
Global walking	k_10_60_90	595077.705804794	3.27108629932627
Global walking	k_15_50_90	595077.850482808	3.41576431354042
Global walking	k_15_60_95	595077.871941437	3.43722294224426
Global walking	k_15_50_95	595078.360997183	3.9262786883628
Global walking	k_10_60_95	595078.572927848	4.13820935308468
Global walking	k_10_50_85	595078.714039065	4.27932057052385
Global walking	k_10_50_90	595078.890906895	4.45618840027601
Global walking	k_25_75_85	595079.215974684	4.78125618898775
Global walking	k_10_50_95	595079.312978639	4.87826014414895
Global walking	k_15_75_85	595079.649596785	5.21487829042599
Global walking	k_10_75_85	595079.969428011	5.53470951621421
Global walking	k_25_75_90	595080.318873184	5.88415468949825
Global walking	k_15_75_90	595080.632984042	6.19826554728206
Global walking	k_10_75_90	595080.897830396	6.4631119009573
Global walking	k_25_75_95	595081.929554799	7.49483630410396
Global walking	k_15_75_95	595082.092095741	7.65737724606879
Global walking	k_10_75_95	595082.281421202	7.84670270781498
Leisure walking	k_25_75_95	87503.8299196476	0
Leisure walking	k_25_75_90	87504.3170087695	0.487089121903409
Leisure walking	k_15_75_95	87504.6410642127	0.811144565130235
Leisure walking	k_10_75_95	87505.0840722721	1.25415262447495
Leisure walking	k_15_75_90	87505.2622516659	1.43233201836119
Leisure walking	k_25_75_85	87505.4923372976	1.66241765006271
Leisure walking	k_10_75_90	87505.7332295253	1.90330987767084
Leisure walking	k_15_75_85	87506.4483545842	2.61843493665219
Leisure walking	k_10_75_85	87506.9220193526	3.09209970505617
Leisure walking	k_25_60_95	87511.8373082454	8.00738859784906
Leisure walking	k_25_60_90	87512.5592821496	8.72936250205385
Leisure walking	k_15_60_95	87513.1190354796	9.28911583196896
Leisure walking	k_25_60_85	87513.1417724347	9.311852787112
Leisure walking	k_10_60_95	87513.6983756387	9.86845599110529
Leisure walking	k_15_60_90	87513.7567539121	9.92683426452277
Leisure walking	k_25_50_95	87513.8322909563	10.0023713086994
Leisure walking	k_15_60_85	87514.2549391254	10.4250194778142
Leisure walking	k_10_60_90	87514.3143490143	10.4844293667265
Leisure walking	k_25_50_90	87514.3849679419	10.5550482942781
Leisure walking	k_10_60_85	87514.791097492	10.9611778444378
Leisure walking	k_25_50_85	87514.8056647373	10.975745089745
Leisure walking	k_15_50_95	87515.010418658	11.1804990104138
Leisure walking	k_15_50_90	87515.4558197971	11.6259001495637
Leisure walking	k_10_50_95	87515.59004217	11.7601225224353
Leisure walking	k_15_50_85	87515.7797159098	11.9497962622263
Leisure walking	k_10_50_90	87516.0058394276	12.1759197800275
Leisure walking	k_10_50_85	87516.30289817	12.4729785223899
Transportation walking	k_10_50_85	234918.989182402	0
Transportation walking	k_10_50_90	234919.042935458	0.0537530561850872
Transportation walking	k_10_50_95	234919.073163216	0.0839808141172398
Transportation walking	k_15_50_85	234919.291407918	0.302225516177714
Transportation walking	k_15_50_90	234919.341952206	0.352769804594573
Transportation walking	k_15_50_95	234919.369581322	0.38039892091183
Transportation walking	k_10_60_95	234920.370723405	1.38154100361862
Transportation walking	k_10_60_90	234920.380301194	1.39111879258417
Transportation walking	k_10_60_85	234920.383873459	1.39469105727039
Transportation walking	k_15_60_95	234920.635268068	1.64608566634706
Transportation walking	k_15_60_90	234920.647244092	1.65806169022107
Transportation walking	k_15_60_85	234920.654869607	1.66568720538635
Transportation walking	k_10_75_85	234920.965053671	1.97587126979488
Transportation walking	k_10_75_90	234921.004838046	2.01565564473276
Transportation walking	k_15_75_85	234921.133561819	2.14437941770302
Transportation walking	k_10_75_95	234921.17033267	2.18115026855958
Transportation walking	k_15_75_90	234921.177020349	2.18783794739284
Transportation walking	k_25_50_85	234921.234018763	2.24483636161312
Transportation walking	k_25_50_90	234921.256727072	2.26754467003047
Transportation walking	k_25_50_95	234921.263022231	2.27383982902393
Transportation walking	k_15_75_95	234921.35146366	2.36228125795606
Transportation walking	k_25_75_85	234922.140515443	3.15133304119809
Transportation walking	k_25_75_90	234922.218226284	3.22904388228199
Transportation walking	k_25_60_95	234922.299001119	3.3098187171272
Transportation walking	k_25_60_90	234922.326047807	3.33686540499912
Transportation walking	k_25_60_85	234922.363953302	3.3747709003801
Transportation walking	k_25_75_95	234922.467992777	3.47881037561456
